계번호,계열,한글명,정체자,간체자,병음,직역,원전 구절,대표 출처/고사,출처유형,전략태그,현대적 해석,의미적 통찰,적용분야,공통 출처 URL
1,승전계,만천과해,瞞天過海,瞒天过海,mán tiān guò hǎi,하늘을 속이고 바다를 건너다,『삼십육계』 제1계 원문: 備周則意怠；常見則不疑。陰在陽之內，不在陽之對。太陽，太陰。,당 태종 동정(東征) 설화에서 설인귀가 황제를 배 안으로 유도해 바다를 건넜다는 전승 고사가 대표 사례로 전해진다.,전승·민간고사,"기만, 은폐, 일상화, 작전보안",가장 잘 보이는 행동이 오히려 가장 덜 의심받는다. 공개성은 은폐의 반대가 아니라 은폐를 가능하게 하는 환경이 될 수 있다.,"중요한 변화는 대개 비밀 통로보다 일상적 절차 속에 숨는다. 반복된 정상상태는 감시자의 경계심을 무디게 하므로, 감사·정보보안·작전감시는 ‘익숙한 정상’에 대한 이상징후 탐지가 필요하다.",작전기만·정보보안·전략커뮤니케이션,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
2,승전계,위위구조,圍魏救趙,围魏救赵,wéi wèi jiù zhào,위나라를 포위해 조나라를 구하다,『삼십육계』 제2계 원문: 共敵不如分敵；敵陽不如敵陰。,전국시대 계릉 전투에서 제나라 손빈이 위나라 수도 대량을 위협하여 조나라 포위를 풀게 한 고사가 핵심 전거로 알려져 있다.,역사고사·전국시대,"간접접근, 우회압박, 중심타격",상대의 공격축을 정면에서 막기보다 상대가 반드시 방어해야 하는 취약 중심을 압박한다.,"강한 상대의 주공을 직접 상대하면 비용이 커진다. 상대의 의사결정 중심, 병참, 평판, 수익원처럼 양보할 수 없는 지점을 치면 전장의 방향을 바꿀 수 있다.",경쟁전략·협상·군사작전,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
3,승전계,차도살인,借刀殺人,借刀杀人,jiè dāo shā rén,남의 칼을 빌려 사람을 해치다,『삼십육계』 제3계 원문: 敵已明，友未定，引友殺敵。不自出力，以損推演。,특정 단일 고사보다 중국 고전 전반의 ‘제3자·제도·동맹을 활용한 대리 타격’ 사례들을 압축한 계책으로 전승된다.,성어·복합전거,"대리수단, 외부자원, 간접효과",자신의 손을 드러내지 않고 제도·동맹·시장·여론·규제 등 외부 힘을 활용한다.,전략의 핵심은 모든 일을 직접 하는 데 있지 않다. 더 큰 체계의 힘을 설계해 목표가 스스로 압박받게 만들면 비용·위험·책임 노출을 줄일 수 있다.,외교·법무·플랫폼전략,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
4,승전계,이일대로,以逸待勞,以逸待劳,yǐ yì dài láo,편안함으로 지친 상대를 기다리다,『삼십육계』 제4계 원문: 困敵之勢，不以戰；損剛益柔。,손자병법 군쟁·허실 사상과 연결되는 ‘여유 있는 병력으로 피로한 적을 상대한다’는 고전 병법 원리에서 유래한 계책이다.,병법원리·손자병법 계열,"준비태세, 소모관리, 대기전략","상대가 스스로 소모되도록 만들고, 나는 에너지·정보·위치 우위를 보존한다.",속도보다 에너지 관리가 우선일 때가 있다. 상대가 급하게 움직일수록 나는 더 정제된 판단과 준비된 실행으로 결정적 순간을 기다려야 한다.,방어작전·운영관리·위기대응,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
5,승전계,진화타겁,趁火打劫,趁火打劫,chèn huǒ dǎ jié,불난 틈을 타 약탈하다,『삼십육계』 제5계 원문: 敵之害大，就勢取利，剛決柔也。,재난·혼란·권력공백을 기회로 삼는 중국 성어권의 일반 전술 원리에서 유래한다.,성어·전술원리,"기회포착, 혼란활용, 타이밍",상대가 통제력을 잃은 순간을 포착해 평소 얻기 어려운 이익을 확보한다.,"위기는 윤리적 판단을 요구한다. 정당한 전략에서는 상대 혼란을 악용하기보다 시장 공백, 정책 전환, 기술 단절 등 구조적 기회를 빠르게 선점하는 의미로 해석해야 한다.",시장진입·M&A·기동작전,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
6,승전계,성동격서,聲東擊西,声东击西,shēng dōng jī xī,동쪽에서 소리 내고 서쪽을 치다,『삼십육계』 제6계 원문: 敵志亂萃，不虞，坤下兌上之象；利其不自主而取之。,"중국 병법 전반의 양동·기만전술을 압축한 성어로, 다수 전쟁사례에 적용되어 전승된다.",성어·병법전술,"양동, 주의분산, 방향기만",의도적으로 신호와 실제 행동축을 분리해 상대의 자원배분을 흔든다.,상대의 방어체계는 정보 입력에 따라 움직인다. 허위 신호로 방어자원을 한쪽에 묶어두면 실제 주공은 더 작은 비용으로 성과를 낸다.,정보작전·마케팅·전술기동,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
7,적전계,무중생유,無中生有,无中生有,wú zhōng shēng yǒu,없는 것에서 있는 것을 만들어내다,『삼십육계』 제7계 원문: 誑也，非誑也，實其所誑也。少陰、太陰、太陽。,노자 『도덕경』의 ‘유생어무(有生於無)’ 사상과 허실 운용의 병법적 응용이 결합된 계책으로 해석된다.,철학전거·병법응용,"허실, 인식조작, 가상전력","가짜 신호를 반복·강화하여 상대가 실제로 대응하게 만들고, 그 대응을 이용한다.","허상은 상대가 그것을 믿고 자원을 쓰는 순간 현실적 효과를 갖는다. 현대 전략에서는 디지털 트윈, 프로토타입, 허위 표적, 심리적 압박의 운용 원리로 볼 수 있다.",심리전·브랜딩·협상,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
8,적전계,암도진창,暗渡陳倉,暗渡陈仓,àn dù chén cāng,몰래 진창으로 건너가다,『삼십육계』 제8계 원문: 示之以動，利其靜而有主，益動而巽。,초한전쟁에서 한신이 겉으로는 잔도 수리를 보이고 실제로는 진창으로 우회 진출했다는 고사가 대표 전거다.,역사고사·초한전쟁,"은밀기동, 우회침투, 주공은폐",공개된 행동은 미끼로 쓰고 실제 전진로는 은밀히 확보한다.,계획의 전부를 투명하게 공개하는 것이 항상 좋은 것은 아니다. 공개 계획과 실제 실행 경로를 분리하면 상대의 예측모델을 무력화할 수 있다.,작전계획·신사업·사이버보안,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
9,적전계,격안관화,隔岸觀火,隔岸观火,gé àn guān huǒ,강 건너 불을 바라보다,『삼십육계』 제9계 원문: 陽乖序亂，陰以待逆。暴戾恣睢，其勢自斃。順以動豫，豫順以動。,상대 내부 갈등이 스스로 확대될 때 개입하지 않고 관망한다는 고전적 성어 전술에서 유래한다.,성어·전술원리,"관망, 내부갈등, 비개입",상대가 자멸할 조건에서는 성급히 개입하지 않는다.,모든 문제에 즉시 개입하는 것은 전략이 아니다. 상대 내부의 모순이 스스로 비용을 발생시키는 상황에서는 관찰·정보수집·위험차단이 더 높은 가치가 된다.,리스크관리·외교·경쟁정보,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
10,적전계,소리장도,笑裏藏刀,笑里藏刀,xiào lǐ cáng dāo,웃음 속에 칼을 감추다,『삼십육계』 제10계 원문: 信而安之，陰以圖之；備而後動，勿使有變。剛中柔外也。,당나라 이의부(李義府)의 ‘웃음 속에 칼이 있다’는 평판 고사와 연결되어 설명되는 경우가 많다.,역사인물·성어,"위장친화, 신뢰침투, 배후공격",겉으로는 호의를 보이며 상대의 경계심을 낮춘 뒤 내부적으로 준비한다.,친절한 표정과 전략적 의도는 분리될 수 있다. 신뢰 기반 협상에서도 상대의 구조적 인센티브와 행동 데이터를 함께 검증해야 한다.,협상·보안·조직정치,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
